cpu_pct,gpu_power_w,gpu_sm_mhz,gpu_temp_c,gpu_util_pct,loadavg1,mem_avail_gib,rss_gib,t
11.77,4.73,208.0,45.0,0.0,0.37841796875,113.33,0.874,2.0
5.51,4.69,208.0,45.0,0.0,0.37841796875,113.11,1.104,4.05
5.58,4.62,208.0,45.0,0.0,0.42822265625,113.1,1.161,6.08
5.56,4.64,208.0,45.0,0.0,0.42822265625,113.07,1.225,8.12
5.41,4.59,208.0,45.0,0.0,0.42822265625,113.1,1.278,10.16
5.58,4.59,208.0,45.0,0.0,0.47412109375,113.12,1.332,12.2
5.91,8.25,2392.0,46.0,1.0,0.47412109375,112.56,1.7,14.23
6.65,12.13,2392.0,46.0,1.0,0.5166015625,111.92,1.995,16.27
5.66,59.24,2385.0,54.0,96.0,0.5166015625,108.73,2.045,18.3
5.82,57.77,2385.0,58.0,57.0,0.5166015625,109.73,2.05,20.34
5.83,47.47,2392.0,52.0,75.0,0.6357421875,111.63,2.104,22.4
6.59,12.44,2392.0,48.0,2.0,0.6357421875,111.32,2.431,24.44
5.78,61.0,2392.0,53.0,96.0,0.6650390625,109.22,2.074,26.47
5.86,59.17,2385.0,59.0,50.0,0.6650390625,110.02,2.08,28.53
6.13,21.21,2392.0,50.0,66.0,0.6650390625,111.49,2.202,30.59
6.18,21.74,2392.0,49.0,1.0,0.77197265625,108.46,2.262,32.62
